"number","customerFirstName","customerLastName","country","currency"
5162258362252394,April,Paschall,GBR,GBP
5290441401157247,Charisse,Daggett,USA,USD
5397076989446422,Gibson,Chunn,USA,USD
5248189647994492,Hector,Swinson,NOR,NOR
5196864976665762,Booth,Spiess,CNA,CAD
5423023313257503,Hitendra,Sibert,CHE,CHF
5337899393425317,Larson,Asbell,SWE,SEK
5140590381876333,Zechariah,Schwarz,GER,EUR
5524874546065610,Shulamith,Earles,FRA,EUR
5204216758311612,Tangwyn,Gorden,GBR,GBP
5336077954566768,Miguel,Gonzales,ESP,EUR
5125835811760048,Randie,Ritz,NOR,CAD
5317812241111538,Michelle,Fleur,FRA,EUR
5373595752176476,Thurborn,Asbell,GBR,GBP
5589753170506689,Noni,Gorden,AUT,EUR
5588152341005179,Vivian,Glowacki,POL,EUR
5390713494347532,Elward,Frady,USA,USD
5322449980897580,Severina,Bracken,AUT,EUR
5280153815233678,Kara,Moretti,ITA,EUR
5574906917600002,Menaka,Harsh,GER,EUR
